Patient confirms the appointment,Patient rejects the appointment,Chatbot confirms the appointment,Chatbot responds to rejection
"Absolutely, that time suits me perfectly.","Unfortunately, that time doesn't work for me.",Your appointment has been successfully booked.,"I understand, let's find another suitable time for you."
"Yes, I can confirm that appointment slot.",I'm unable to make it at that scheduled time.,Great news! Your appointment is confirmed.,"No problem, we can look for an alternative time slot."
I'm all set for the scheduled time.,"Regrettably, I have a conflict at that time.",Appointment confirmed. We'll see you then!,"I see, let's explore other available appointment options."
"Confirmed, looking forward to it.","Sorry, but I can't make it for that appointment.",All set! Your appointment is scheduled.,"Noted, we'll work on rescheduling your appointment."
"Yes, that works well for me. Appointment confirmed.","That time is not feasible for me, I need to cancel.",Appointment secured successfully.,"Understood, let's adjust the appointment time for you."
"Affirmative, I'll be there for the appointment.","Apologies, I won't be able to attend at that time.",Confirmed! Your appointment is set.,"No worries, we'll find a better time that works for you."
"Confirmed, see you at the appointment.",I have prior commitments; can we reschedule?,Your appointment is booked and confirmed.,"Got it, let's search for a more convenient appointment time."
I confirm the appointment for that time.,I'm afraid that time doesn't fit my schedule.,Appointment confirmed. Looking forward to it!,"Okay, let's see if we can find a more suitable time for you."
"Yes, I'll be available for the appointment.","Unfortunately, I have another appointment then.",You're all set for your appointment.,"I hear you, let's see if we can accommodate your schedule."
"Agreed, I'll definitely make it.",I need to decline that time; it's not convenient.,The appointment is confirmed on our end.,"Sure, let's check for other available appointment slots."
"Absolutely, I'll mark that in my calendar.","Sorry, but I have a conflicting engagement.",Your appointment has been successfully scheduled.,"Alright, we'll work on rescheduling your appointment."
"Yes, I can make it for the scheduled time.","Unfortunately, I won't be available at that time.",You're booked in for the appointment.,"I understand, let's look for a more convenient time frame."
"Confirmed, I'll be there, no worries.",That time doesn't work for me; can we adjust?,Appointment confirmed. We're all set.,"Gotcha, let's find a time that better suits your schedule."
That time is perfect for me. Confirming the appointment.,"I'm sorry, but I can't make it for that time.",Your appointment is now confirmed.,"I acknowledge that, let's find a time that works for you."
"Yes, I confirm the appointment for that time.",I have a conflicting event; can we find another time?,Appointment successfully reserved.,"Thank you for letting us know, we'll make the necessary adjustments."
"Great, I confirm the appointment for that time.","Unfortunately, I have a prior engagement.",Confirmed! We'll see you at the appointment.,Let's find a time that fits better with your availability.
"Yes, that appointment time is convenient for me.","Sorry, that time doesn't suit my schedule.",Your appointment is confirmed. See you then!,"No problem, we'll work on rescheduling your appointment."
I confirm the appointment. Thank you.,"Regrettably, I need to decline that time slot.",Great! Your appointment has been confirmed.,I'll do my best to find a more suitable time for you.
"Yes, I'll be present at the scheduled time.","Apologies, I can't make it for that appointment.",Appointment successfully locked in.,"Thank you for the update, let's find a better time for you."
"Absolutely, I'll make sure to be there.","Unfortunately, I have another commitment.",Your appointment is now set in stone.,I'll make sure to assist you in finding a more convenient time.
"Confirmed, the appointment time works for me.","Sorry, that time doesn't work for me.",Confirmed! We'll be expecting you.,Let's explore other options to find a time that works for you.
"Yes, I confirm the appointment. See you then.",I'm unable to attend at that specific time.,Appointment locked in on our calendar.,"Thank you for the information, we'll adjust the appointment accordingly."
"Affirmed, I'll see you at the appointment.","Unfortunately, I have something else planned.",Your appointment is all set and confirmed.,"I appreciate your feedback, let's look for a better time slot."
"Yes, that time is perfect. Appointment confirmed.","Sorry, but I have a conflict during that time.",Appointment confirmed. We're ready for you!,I'll do my best to find an alternative time that suits you.
"Confirmed, looking forward to our appointment.",That doesn't work for me; can we reschedule?,Your appointment is now officially confirmed.,"Your input is valuable, we'll find a more suitable time for you."
"Sure, I confirm the appointment for that time slot.",I have a conflicting appointment; need to cancel.,Confirmed! Looking forward to your visit.,"Thank you for letting us know your availability, we'll adjust accordingly."
"Yes, I'll be there on time. Confirming the appointment.","Unfortunately, I won't be able to make it then.",Appointment successfully scheduled.,Let's work together to find a time that is more convenient for you.
"Confirmed, I'll make it for the scheduled time.","Sorry, that time is not feasible for me.",Confirmed! Your appointment is secured.,I'll make sure to find a better time that fits your schedule.
"Yes, that time is good for me. Appointment confirmed.",I have prior engagements; need to change.,Your appointment is now in the books.,"Your comfort is important to us, let's find a more suitable time."
"Absolutely, I'll be there at the appointment.","Unfortunately, I can't make it for that slot.",Appointment successfully confirmed. See you then!,"Thank you for the update, we'll make the necessary changes."
